H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,alpha,eps,huber_alpha,val_objective,max_depth,eta,subsample,colsample_bytree,lambda,num_boost_round,w_mid,w_danger,w_tail
3,test,XGB,95,44.984493255615234,25.539676666259766,61.819709750789634,1150,,,,,,,,,,,,,,
3,test,XGB,99,61.66539001464844,56.894004821777344,131.89609576528412,230,,,,,,,,,,,,,,
6,test,Huber,90,37.66999816894531,20.85630317486747,45.99001150155568,2301,,,,,,,,,,,,,,
6,test,Huber,95,44.984493255615234,28.851872699410887,63.03963525923289,1150,,,,,,,,,,,,,,
6,test,Huber,99,61.66539001464844,61.44792735900995,133.14753973908591,230,,,,,,,,,,,,,,
6,test,Huber Graph,90,37.66999816894531,25.060789286988925,47.91969038105539,2301,2.0,,,,,,,,,,,,,
6,test,Huber Graph,95,44.984493255615234,34.149640288578155,65.40195542364349,1150,2.0,,,,,,,,,,,,,
6,test,Huber Graph,99,61.66539001464844,69.19124159644016,135.6072566416049,230,2.0,,,,,,,,,,,,,
6,test,Hybrid (Graph + XGB residual),90,37.66999816894531,19.753460721243165,45.37072080292495,2301,2.0,,,,,,,,,,,,,
6,test,Hybrid (Graph + XGB residual),95,44.984493255615234,26.721750714025198,62.40067717811411,1150,2.0,,,,,,,,,,,,,
6,test,Hybrid (Graph + XGB residual),99,61.66539001464844,57.09194470878122,132.19619926174485,230,2.0,,,,,,,,,,,,,
6,test,RF,90,37.66999816894531,19.905979149725628,45.370152724964605,2301,,,,,,,,,,,,,,
6,test,RF,95,44.984493255615234,27.855933575978057,62.64690718979438,1150,,,,,,,,,,,,,,
6,test,RF,99,61.66539001464844,59.76299923168273,132.62435187028527,230,,,,,,,,,,,,,,
6,test,Ridge,90,37.66999816894531,20.99827003479004,45.89734373696778,2301,,,,,,,,,,,,,,
6,test,Ridge,95,44.984493255615234,29.329816818237305,63.076874832793315,1150,,,,,,,,,,,,,,
6,test,Ridge,99,61.66539001464844,62.820552825927734,133.20339534430045,230,,,,,,,,,,,,,,
6,test,Static-Graph Huber,90,37.66999816894531,25.409322656712146,48.10696334317248,2301,1.0,,,,,,,,,,,,,
6,test,Static-Graph Huber,95,44.984493255615234,34.559596548518975,65.59254444799264,1150,1.0,,,,,,,,,,,,,
6,test,Static-Graph Huber,99,61.66539001464844,69.39548293545218,135.68525719738395,230,1.0,,,,,,,,,,,,,
6,test,Static-Graph Ridge,90,37.66999816894531,25.429431915283203,47.674092459079645,2301,1.0,,,,,,,,,,,,,
6,test,Static-Graph Ridge,95,44.984493255615234,34.871131896972656,65.21537709893465,1150,1.0,,,,,,,,,,,,,
6,test,Static-Graph Ridge,99,61.66539001464844,69.80633544921875,135.1984074425435,230,1.0,,,,,,,,,,,,,
6,test,Tuned Huber Graph,90,37.66999816894531,25.07901063894976,47.93035567848878,2301,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,,,,,,,,,
6,test,Tuned Huber Graph,95,44.984493255615234,34.17241742243378,65.4145332066261,1150,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,,,,,,,,,
6,test,Tuned Huber Graph,99,61.66539001464844,69.21889071025367,135.61827598555757,230,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,,,,,,,,,
6,test,Tuned Hybrid (Graph + XGB residual),90,37.66999816894531,19.229125188865613,45.15878851090529,2301,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,6.0,0.03436043800866858,1.0,0.6518866898974885,5.652714542258326,344.0,2.7042619623242383,5.784242572472718,23.72995065755793
6,test,Tuned Hybrid (Graph + XGB residual),95,44.984493255615234,25.83268092444685,62.074297053338036,1150,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,6.0,0.03436043800866858,1.0,0.6518866898974885,5.652714542258326,344.0,2.7042619623242383,5.784242572472718,23.72995065755793
