H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
3,test,Hybrid,90,223.0,56.6275033601095,80.3050533419773,5161,0.0,
3,test,Hybrid,95,286.0,67.48778113736995,94.14829846672818,2560,0.0,
3,test,Hybrid,99,453.0,106.29541507338769,142.2859678552985,513,0.0,
3,test,RF,90,223.0,72.26990750437942,98.62663398961284,5161,,
3,test,RF,95,286.0,94.68670209750276,122.02523090509007,2560,,
3,test,RF,99,453.0,150.84831983435132,188.99520920433167,513,,
3,test,Ridge,90,223.0,72.75251007080078,98.23994064279559,5161,,
3,test,Ridge,95,286.0,93.70330810546875,121.32929108422253,2560,,
3,test,Ridge,99,453.0,147.2847900390625,182.87187070118247,513,,
3,test,SG-Huber,90,223.0,68.76276345871096,94.35759595385709,5161,0.0,
3,test,SG-Huber,95,286.0,85.04283763342384,113.75340314224391,2560,0.0,
3,test,SG-Huber,99,453.0,128.67512130331278,166.72217589555353,513,0.0,
3,test,SG-Ridge,90,223.0,74.5820083618164,98.42767808142179,5161,0.0,
3,test,SG-Ridge,95,286.0,93.91023254394531,120.31622559166739,2560,0.0,
3,test,SG-Ridge,99,453.0,147.47030639648438,180.48994193756337,513,0.0,
3,test,Tuned-Huber-Graph,90,223.0,68.89313070593626,94.54497937901088,5161,0.0,23.794673390589157
3,test,Tuned-Huber-Graph,95,286.0,84.9775200535639,113.80852809638161,2560,0.0,23.794673390589157
3,test,Tuned-Huber-Graph,99,453.0,127.84771759991125,166.21909988806013,513,0.0,23.794673390589157
3,test,Tuned-Hybrid,90,223.0,53.407737617556926,77.86733683880406,5161,0.0,23.794673390589157
3,test,Tuned-Hybrid,95,286.0,66.21833262635536,93.5135435594765,2560,0.0,23.794673390589157
3,test,Tuned-Hybrid,99,453.0,108.88724501824872,145.23033776155583,513,0.0,23.794673390589157
3,test,XGB,90,223.0,72.19539642333984,99.97584669246368,5161,,
3,test,XGB,95,286.0,94.678955078125,124.96876953613251,2560,,
3,test,XGB,99,453.0,162.01266479492188,199.30354322929134,513,,
6,test,Huber,90,223.0,97.97287104421738,128.7861097321221,5161,,
6,test,Huber,95,286.0,127.3643313501462,160.20583715718794,2560,,
6,test,Huber,99,453.0,207.37015251991087,245.71259568916548,513,,
6,test,Huber-Graph,90,223.0,99.28670980822872,129.3180749536996,5161,0.0,
6,test,Huber-Graph,95,286.0,126.85931125016859,159.7665459504309,2560,0.0,
6,test,Huber-Graph,99,453.0,207.4206229263548,245.4965062918221,513,0.0,
6,test,Hybrid,90,223.0,71.94156082323023,102.13383951994544,5161,0.0,
6,test,Hybrid,95,286.0,87.69398965056261,123.39417130527532,2560,0.0,
6,test,Hybrid,99,453.0,154.25060329615928,203.47242064727598,513,0.0,
6,test,RF,90,223.0,100.68465261834382,130.54265461138067,5161,,
6,test,RF,95,286.0,135.02958346804456,165.95412585445246,2560,,
6,test,RF,99,453.0,232.15931706308584,265.0036564874879,513,,
6,test,Ridge,90,223.0,102.4482421875,130.93264459971394,5161,,
6,test,Ridge,95,286.0,136.30709838867188,165.7356705721493,2560,,
6,test,Ridge,99,453.0,227.43560791015625,258.6276884828846,513,,
6,test,SG-Huber,90,223.0,98.75226544417758,128.50690311055584,5161,0.0,
6,test,SG-Huber,95,286.0,126.37447646808343,158.9068469467194,2560,0.0,
6,test,SG-Huber,99,453.0,206.4993509580815,244.06691871016596,513,0.0,
6,test,SG-Ridge,90,223.0,106.53795623779297,133.62281482076705,5161,0.0,
6,test,SG-Ridge,95,286.0,138.3215789794922,167.01066582706628,2560,0.0,
6,test,SG-Ridge,99,453.0,227.81468200683594,258.15919870304833,513,0.0,
6,test,Tuned-Huber-Graph,90,223.0,98.84715518597284,128.68849102629142,5161,0.0,33.30351952935475
